Ax,Ay,Az,Gx,Gy,Gz,Cx,Cy,Cz,Lt,Li,alt,temp
-1211.000000,1590.000000,-408.000000,22.000000,-211.000000,37.000000,149.000000,11679.000000,286.000000,22.120000,6.020000,1333.500600,21.937500
-1242.000000,1694.000000,-471.000000,-101.000000,-105.000000,-180.000000,3314.000000,8301.900000,2860.000000,21.760000,5.960000,1333.498700,21.937500
-1263.000000,1541.000000,-331.000000,-27.000000,-361.000000,-108.000000,6479.000000,4924.800000,5434.000000,21.400000,5.900000,1333.496900,21.937500
-1231.000000,1688.000000,-344.000000,-109.000000,-34.000000,-205.000000,9644.000000,1547.700000,8008.000000,21.040000,5.840000,1333.495000,21.937500
-1254.000000,1585.000000,-337.000000,-32.000000,-49.000000,35.000000,10695.800000,420.000000,8865.600000,20.680000,5.780000,1333.493100,21.937500
-1247.000000,1666.000000,-372.000000,-75.000000,64.000000,-88.000000,10691.000000,417.000000,8865.000000,20.320000,5.720000,1333.491300,21.937500
-1273.000000,1592.000000,-342.000000,-50.000000,20.000000,13.000000,10686.200000,414.000000,8864.400000,19.960000,5.660000,1333.489400,21.937500
-1166.000000,1657.000000,-372.000000,-69.000000,-39.000000,121.000000,10683.400000,412.500000,8864.200000,19.600000,5.600000,1333.487500,21.937500
-1253.000000,1539.000000,-445.000000,-23.000000,46.000000,32.000000,10684.600000,414.000000,8864.800000,19.240000,5.540000,1333.485600,21.937500
-1190.000000,1603.000000,-361.000000,77.000000,136.000000,156.000000,10685.800000,415.500000,8865.400000,18.880000,5.480000,1333.483800,21.937500
-1267.000000,1690.000000,-395.000000,44.000000,-8.000000,-90.000000,10687.000000,417.000000,8866.000000,18.520000,5.420000,1333.481900,21.937500
-1251.000000,1648.000000,-330.000000,106.000000,-195.000000,49.000000,10686.100000,413.100000,8860.300000,18.160000,5.360000,1333.480000,21.937500
-1219.000000,1289.000000,-542.000000,443.000000,-262.000000,69.000000,10685.200000,409.200000,8854.600000,17.800000,5.300000,1333.478100,21.937500
-1248.000000,1621.000000,-336.000000,72.000000,-342.000000,47.000000,10684.300000,405.300000,8848.900000,17.440000,5.240000,1333.476200,21.937500
-1224.000000,1704.000000,-339.000000,116.000000,-104.000000,-90.000000,10684.545500,404.727300,8847.181800,17.080000,5.180000,1333.474400,21.937500
-1282.000000,1602.000000,-488.000000,135.000000,202.000000,-113.000000,10685.363600,405.818200,8847.454500,16.720000,5.120000,1333.472500,21.937500
-1061.000000,1721.000000,-1144.000000,-26.000000,54.000000,-227.000000,10686.181800,406.909100,8847.727300,16.360000,5.060000,1333.470600,21.937500
-1214.000000,1633.000000,-396.000000,78.000000,83.000000,44.000000,10686.900000,408.300000,8848.400000,15.880000,4.980000,1333.468100,21.937500
-1230.000000,1552.000000,-438.000000,111.000000,108.000000,68.000000,10686.600000,409.200000,8849.600000,15.520000,4.920000,1333.466200,21.937500
-1205.000000,1653.000000,-431.000000,148.000000,55.000000,-192.000000,10686.300000,410.100000,8850.800000,15.160000,4.860000,1333.464400,21.937500
-1274.000000,1574.000000,-521.000000,117.000000,45.000000,46.000000,10686.000000,411.000000,8852.000000,14.800000,4.800000,1333.462500,21.937500
-1269.000000,1585.000000,-415.000000,196.000000,-36.000000,-212.000000,10687.200000,412.800000,8852.900000,14.440000,4.740000,1333.460600,21.937500
